ApplicationID,CandidateID,JobID,SourcingChannel,ApplicationDate,CurrentStage,RecruitmentCost,Gender,Ethnicity
APP00130,CAND16523,JOB013,Company Website,2025-03-22,Rejected,0,Prefer not to say,White
APP00131,CAND13127,JOB036,LinkedIn,2025-12-10,Withdrawn,15,Male,Hispanic
APP00132,CAND87511,JOB045,Indeed,2025-03-29,Rejected,0,Female,White
APP00133,CAND28316,JOB004,Indeed,2025-11-08,Rejected,0,Male,White
APP00134,CAND73745,JOB034,Employee Referral,2025-04-14,Rejected,0,Male,Hispanic
APP00135,CAND71192,JOB007,Company Website,2025-10-18,Rejected,0,Female,Asian
APP00136,CAND88929,JOB032,LinkedIn,2025-08-25,Rejected,15,Male,White
APP00137,CAND61360,JOB031,Recruitment Agency,2025-04-14,Rejected,0,Female,Asian
APP00138,CAND95945,JOB003,LinkedIn,2025-06-11,Withdrawn,15,Male,White
APP00139,CAND55929,JOB032,LinkedIn,2025-09-27,Rejected,15,Female,White
APP00140,CAND52498,JOB015,Company Website,2026-03-20,Withdrawn,0,Male,Hispanic
APP00141,CAND49643,JOB045,LinkedIn,2025-04-10,Rejected,15,Female,Asian
APP00142,CAND11524,JOB038,Employee Referral,2025-05-08,Rejected,0,Female,White
APP00143,CAND75054,JOB010,Employee Referral,2025-11-02,Rejected,0,Male,White
APP00144,CAND78322,JOB032,LinkedIn,2025-09-16,Rejected,15,Female,Asian
APP00145,CAND20929,JOB024,LinkedIn,2025-03-11,Withdrawn,15,Male,White
APP00146,CAND10595,JOB032,LinkedIn,2025-09-05,Withdrawn,15,Male,Two or More
APP00147,CAND41007,JOB033,LinkedIn,2025-02-14,Rejected,15,Female,White
APP00148,CAND88218,JOB039,Company Website,2026-01-05,Withdrawn,0,Male,White
APP00149,CAND67572,JOB007,LinkedIn,2025-10-05,Hired,15,Female,White
APP00150,CAND32419,JOB033,LinkedIn,2025-01-17,Hired,15,Female,White
APP00151,CAND76273,JOB031,LinkedIn,2025-03-13,Withdrawn,15,Prefer not to say,Hispanic
APP00152,CAND43172,JOB012,Company Website,2026-04-06,Rejected,0,Female,White
APP00153,CAND40028,JOB035,Company Website,2025-06-09,Rejected,0,Male,White
APP00154,CAND33932,JOB042,Indeed,2025-04-14,Rejected,0,Male,Black
APP00155,CAND17213,JOB044,LinkedIn,2026-02-03,Hired,15,Male,White
APP00156,CAND79893,JOB005,LinkedIn,2025-11-22,Withdrawn,15,Female,White
APP00157,CAND37563,JOB033,Company Website,2025-01-29,Withdrawn,0,Male,White
APP00158,CAND33704,JOB022,Company Website,2025-06-25,Withdrawn,0,Female,Asian
APP00159,CAND20416,JOB012,Employee Referral,2026-03-16,Rejected,0,Male,Black
APP00160,CAND21586,JOB017,Indeed,2025-10-22,Rejected,0,Female,White
APP00161,CAND65283,JOB040,Employee Referral,2025-06-25,Withdrawn,0,Male,Hispanic
APP00162,CAND86349,JOB029,LinkedIn,2026-01-13,Withdrawn,15,Female,White
APP00163,CAND14677,JOB011,Indeed,2025-12-21,Rejected,0,Female,Two or More
APP00164,CAND12956,JOB045,LinkedIn,2025-03-23,Hired,15,Male,Asian
APP00165,CAND64437,JOB038,LinkedIn,2025-06-14,Withdrawn,15,Male,White
APP00166,CAND29551,JOB024,LinkedIn,2025-03-03,Withdrawn,15,Male,Asian
APP00167,CAND19967,JOB007,LinkedIn,2025-10-30,Rejected,15,Female,Hispanic
APP00168,CAND85542,JOB025,LinkedIn,2025-03-17,Rejected,15,Male,White
APP00169,CAND47134,JOB044,LinkedIn,2026-01-27,Withdrawn,15,Male,White
APP00170,CAND15912,JOB029,Indeed,2026-01-05,Withdrawn,0,Male,White
APP00171,CAND84391,JOB036,Indeed,2025-12-07,Hired,0,Male,White
APP00172,CAND37632,JOB033,LinkedIn,2025-02-10,Hired,15,Male,White
APP00173,CAND10148,JOB033,LinkedIn,2025-02-14,Hired,15,Male,White
APP00174,CAND53013,JOB044,Indeed,2026-02-22,Rejected,0,Female,Asian
APP00175,CAND34714,JOB020,Employee Referral,2025-06-28,Rejected,0,Female,Hispanic
APP00176,CAND85117,JOB003,Indeed,2025-05-14,Rejected,0,Female,Black
APP00177,CAND92799,JOB008,LinkedIn,2025-03-09,Rejected,15,Non-Binary,White
APP00178,CAND45057,JOB018,Indeed,2025-12-02,Withdrawn,0,Female,White
APP00179,CAND65479,JOB008,LinkedIn,2025-03-20,Rejected,15,Male,White
APP00180,CAND85147,JOB012,Employee Referral,2026-03-18,Withdrawn,0,Male,Asian
APP00181,CAND17973,JOB011,Employee Referral,2025-12-20,Rejected,0,Male,Black
APP00182,CAND28157,JOB030,LinkedIn,2025-12-20,Rejected,15,Male,Asian
APP00183,CAND48165,JOB021,Indeed,2025-02-21,Withdrawn,0,Female,White
APP00184,CAND36372,JOB011,LinkedIn,2026-01-18,Withdrawn,15,Female,Asian
APP00185,CAND87061,JOB011,Company Website,2026-01-22,Rejected,0,Female,Asian
APP00186,CAND40285,JOB017,Indeed,2025-10-13,Withdrawn,0,Male,White
APP00187,CAND61999,JOB037,Indeed,2025-09-08,Rejected,0,Female,White
APP00188,CAND93629,JOB004,LinkedIn,2025-10-31,Rejected,15,Female,Hispanic
APP00189,CAND50180,JOB034,Indeed,2025-04-08,Withdrawn,0,Male,Black
APP00190,CAND76267,JOB029,Indeed,2026-02-06,Rejected,0,Prefer not to say,White
APP00191,CAND83643,JOB041,Indeed,2025-06-16,Rejected,0,Female,White
APP00192,CAND84191,JOB014,LinkedIn,2025-03-14,Rejected,15,Female,Asian
APP00193,CAND10296,JOB037,LinkedIn,2025-08-20,Rejected,15,Male,Asian
APP00194,CAND15355,JOB006,LinkedIn,2025-03-14,Rejected,15,Male,Hispanic
APP00195,CAND85582,JOB017,Company Website,2025-11-02,Rejected,0,Male,Hispanic
APP00196,CAND83469,JOB043,LinkedIn,2025-02-27,Rejected,15,Male,White
APP00197,CAND98267,JOB045,LinkedIn,2025-04-23,Hired,15,Male,Two or More
APP00198,CAND82594,JOB021,LinkedIn,2025-02-09,Withdrawn,15,Female,Asian
APP00199,CAND92643,JOB004,Employee Referral,2025-11-10,Withdrawn,0,Female,Asian
APP00200,CAND88343,JOB038,LinkedIn,2025-06-06,Rejected,15,Male,White
APP00201,CAND83601,JOB018,Company Website,2025-11-04,Withdrawn,0,Female,White
APP00202,CAND92735,JOB035,Indeed,2025-05-18,Withdrawn,0,Male,White
APP00203,CAND31975,JOB035,Indeed,2025-06-17,Rejected,0,Male,Hispanic
APP00204,CAND99796,JOB023,Employee Referral,2025-10-24,Rejected,0,Male,Asian
APP00205,CAND45367,JOB035,LinkedIn,2025-06-07,Withdrawn,15,Female,Hispanic
APP00206,CAND93038,JOB036,LinkedIn,2026-01-08,Rejected,15,Female,Two or More
APP00207,CAND65781,JOB041,LinkedIn,2025-06-15,Withdrawn,15,Male,Asian
APP00208,CAND72107,JOB001,LinkedIn,2025-05-30,Rejected,15,Female,Asian
APP00209,CAND72904,JOB018,Employee Referral,2025-11-06,Withdrawn,0,Prefer not to say,Asian
APP00210,CAND14359,JOB020,LinkedIn,2025-06-08,Rejected,15,Prefer not to say,White
APP00211,CAND60131,JOB008,Company Website,2025-02-22,Hired,0,Male,White
APP00212,CAND12552,JOB039,LinkedIn,2026-01-15,Rejected,15,Female,White
APP00213,CAND95982,JOB044,LinkedIn,2026-02-21,Withdrawn,15,Female,Asian
APP00214,CAND96711,JOB033,Recruitment Agency,2025-02-06,Hired,19000,Male,White
APP00215,CAND80202,JOB011,LinkedIn,2026-01-09,Rejected,15,Female,Hispanic
APP00216,CAND52923,JOB010,Company Website,2025-10-15,Withdrawn,0,Male,White
APP00217,CAND65797,JOB011,Employee Referral,2026-01-15,Rejected,0,Female,White
APP00218,CAND26292,JOB006,Indeed,2025-03-16,Hired,0,Female,White
APP00219,CAND80153,JOB045,LinkedIn,2025-05-03,Withdrawn,15,Prefer not to say,White
APP00220,CAND26191,JOB029,Employee Referral,2026-01-11,Withdrawn,0,Male,Asian
APP00221,CAND25290,JOB031,Company Website,2025-04-02,Withdrawn,0,Non-Binary,Hispanic
APP00222,CAND26363,JOB042,Indeed,2025-05-18,Rejected,0,Female,Black
APP00223,CAND71687,JOB026,LinkedIn,2025-04-22,Withdrawn,15,Male,Black
APP00224,CAND83366,JOB041,LinkedIn,2025-06-28,Withdrawn,15,Male,Asian
APP00225,CAND95239,JOB016,LinkedIn,2026-03-30,Rejected,15,Female,Two or More
APP00226,CAND57020,JOB011,Indeed,2026-01-24,Withdrawn,0,Male,White
APP00227,CAND52548,JOB020,Indeed,2025-07-16,Withdrawn,0,Male,Hispanic
APP00228,CAND18888,JOB006,Company Website,2025-03-10,Rejected,0,Male,White
APP00229,CAND55499,JOB014,Company Website,2025-03-16,Withdrawn,0,Female,Asian
APP00230,CAND17274,JOB002,Company Website,2025-04-14,Rejected,0,Male,Two or More
APP00231,CAND91578,JOB025,LinkedIn,2025-02-16,Rejected,15,Male,White
APP00232,CAND66241,JOB030,LinkedIn,2026-01-03,Rejected,15,Male,Asian
APP00233,CAND59831,JOB024,LinkedIn,2025-02-21,Rejected,15,Female,Asian
APP00234,CAND40482,JOB043,Indeed,2025-03-12,Rejected,0,Male,Asian
APP00235,CAND63744,JOB009,LinkedIn,2025-12-09,Rejected,15,Male,White
APP00236,CAND83079,JOB035,LinkedIn,2025-06-19,Hired,15,Male,White
APP00237,CAND50134,JOB019,Indeed,2025-10-15,Rejected,0,Male,Asian
APP00238,CAND81028,JOB014,LinkedIn,2025-04-08,Hired,15,Female,White
APP00239,CAND70531,JOB016,LinkedIn,2026-04-06,Rejected,15,Male,Asian
APP00240,CAND50484,JOB011,Indeed,2025-12-18,Withdrawn,0,Female,Black
APP00241,CAND28676,JOB003,Company Website,2025-05-24,Withdrawn,0,Male,White
APP00242,CAND69660,JOB006,LinkedIn,2025-03-14,Withdrawn,15,Female,White
APP00243,CAND23222,JOB022,LinkedIn,2025-06-11,Rejected,15,Non-Binary,Asian
APP00244,CAND38670,JOB025,LinkedIn,2025-02-10,Withdrawn,15,Male,White
APP00245,CAND37201,JOB023,Indeed,2025-11-12,Rejected,0,Male,Hispanic
APP00246,CAND11128,JOB044,Recruitment Agency,2026-02-25,Rejected,0,Male,Asian
APP00247,CAND20534,JOB010,LinkedIn,2025-10-30,Hired,15,Female,White
APP00248,CAND10064,JOB036,Employee Referral,2026-01-14,Rejected,0,Female,Black
APP00249,CAND32650,JOB004,LinkedIn,2025-11-10,Rejected,15,Male,Black
APP00250,CAND10395,JOB017,LinkedIn,2025-11-11,Rejected,15,Male,White
APP00251,CAND55406,JOB010,Company Website,2025-10-12,Withdrawn,0,Male,White
APP00252,CAND37603,JOB003,Employee Referral,2025-05-25,Withdrawn,0,Female,Hispanic
APP00253,CAND81540,JOB033,LinkedIn,2025-02-25,Withdrawn,15,Male,White
APP00254,CAND61322,JOB039,Company Website,2026-02-01,Rejected,0,Female,Asian
APP00255,CAND84237,JOB004,LinkedIn,2025-11-30,Rejected,15,Male,White
APP00256,CAND20248,JOB031,Indeed,2025-03-19,Rejected,0,Male,Asian
APP00257,CAND73853,JOB031,Indeed,2025-03-13,Rejected,0,Female,Asian
APP00258,CAND20619,JOB003,Indeed,2025-06-22,Rejected,0,Male,White
APP00259,CAND64583,JOB021,LinkedIn,2025-02-02,Withdrawn,15,Male,Asian
APP00260,CAND30010,JOB024,LinkedIn,2025-02-06,Rejected,15,Male,White
APP00261,CAND77310,JOB033,LinkedIn,2025-02-23,Withdrawn,15,Female,Black
APP00262,CAND15008,JOB029,LinkedIn,2026-01-16,Withdrawn,15,Male,White
APP00263,CAND30096,JOB038,Employee Referral,2025-05-30,Withdrawn,0,Female,White
APP00264,CAND16641,JOB007,LinkedIn,2025-11-05,Rejected,15,Male,Black
APP00265,CAND31711,JOB035,LinkedIn,2025-06-01,Withdrawn,15,Prefer not to say,Two or More
APP00266,CAND95834,JOB038,LinkedIn,2025-06-14,Rejected,15,Female,White
APP00267,CAND69402,JOB027,LinkedIn,2026-04-17,Rejected,15,Female,Black
APP00268,CAND31311,JOB024,Employee Referral,2025-03-05,Rejected,0,Female,White
APP00269,CAND55206,JOB028,LinkedIn,2025-05-21,Withdrawn,15,Male,White
APP00270,CAND91924,JOB042,Recruitment Agency,2025-04-16,Rejected,0,Female,White
APP00271,CAND24642,JOB001,Indeed,2025-04-24,Withdrawn,0,Non-Binary,Asian
APP00272,CAND93274,JOB002,Employee Referral,2025-04-04,Rejected,0,Female,Asian
APP00273,CAND25657,JOB044,LinkedIn,2026-02-05,Hired,15,Male,Asian
APP00274,CAND76198,JOB043,LinkedIn,2025-03-09,Withdrawn,15,Female,White
APP00275,CAND18698,JOB002,Employee Referral,2025-05-07,Rejected,0,Male,White
APP00276,CAND12928,JOB025,Indeed,2025-03-17,Withdrawn,0,Female,White
APP00277,CAND69232,JOB044,LinkedIn,2026-02-26,Rejected,15,Female,Asian
APP00278,CAND81303,JOB030,LinkedIn,2025-12-26,Withdrawn,15,Non-Binary,White
APP00279,CAND11320,JOB025,Indeed,2025-02-20,Withdrawn,0,Female,White
APP00280,CAND25234,JOB011,Indeed,2026-01-15,Withdrawn,0,Male,White
APP00281,CAND17393,JOB022,LinkedIn,2025-06-24,Rejected,15,Female,White
APP00282,CAND45319,JOB031,LinkedIn,2025-03-27,Hired,15,Male,Asian
APP00283,CAND37484,JOB023,LinkedIn,2025-11-04,Rejected,15,Female,Asian
APP00284,CAND31652,JOB009,LinkedIn,2025-12-07,Withdrawn,15,Male,Hispanic
APP00285,CAND76008,JOB028,LinkedIn,2025-06-23,Withdrawn,15,Female,Hispanic
APP00286,CAND88872,JOB030,LinkedIn,2025-12-14,Withdrawn,15,Female,White
APP00287,CAND76846,JOB005,LinkedIn,2025-12-06,Withdrawn,15,Male,White
APP00288,CAND82042,JOB010,Company Website,2025-10-07,Withdrawn,0,Male,White
APP00289,CAND56429,JOB002,Indeed,2025-04-24,Withdrawn,0,Female,Asian
APP00290,CAND77173,JOB001,Employee Referral,2025-04-22,Withdrawn,0,Male,White
APP00291,CAND71779,JOB042,LinkedIn,2025-04-19,Rejected,15,Female,Asian
APP00292,CAND27373,JOB001,LinkedIn,2025-05-25,Rejected,15,Male,White
APP00293,CAND60775,JOB019,Company Website,2025-10-12,Hired,0,Male,White
APP00294,CAND52734,JOB015,LinkedIn,2026-02-11,Withdrawn,15,Male,White
APP00295,CAND63009,JOB044,Company Website,2026-03-06,Hired,0,Male,Black
APP00296,CAND89624,JOB020,LinkedIn,2025-06-30,Rejected,15,Male,Hispanic
APP00297,CAND24323,JOB037,Company Website,2025-08-24,Rejected,0,Female,Two or More
APP00298,CAND32443,JOB037,Company Website,2025-09-04,Rejected,0,Male,Asian
APP00299,CAND93190,JOB011,Indeed,2026-01-10,Withdrawn,0,Male,Black
APP00300,CAND48892,JOB039,Indeed,2025-12-26,Hired,0,Female,Asian
APP00301,CAND96217,JOB027,Company Website,2026-04-04,Withdrawn,0,Male,Two or More
APP00302,CAND91844,JOB031,LinkedIn,2025-03-12,Rejected,15,Female,White
APP00303,CAND20108,JOB015,Indeed,2026-02-21,Withdrawn,0,Non-Binary,Asian
APP00304,CAND53950,JOB042,LinkedIn,2025-04-25,Hired,15,Female,White
APP00305,CAND72286,JOB022,Indeed,2025-06-29,Rejected,0,Male,Asian
APP00306,CAND75875,JOB017,Indeed,2025-09-30,Withdrawn,0,Male,Hispanic
APP00307,CAND45829,JOB026,LinkedIn,2025-05-19,Withdrawn,15,Non-Binary,White
APP00308,CAND85532,JOB038,LinkedIn,2025-05-20,Rejected,15,Male,White
APP00309,CAND35574,JOB002,LinkedIn,2025-04-06,Withdrawn,15,Male,Asian
APP00310,CAND76313,JOB023,Employee Referral,2025-11-03,Rejected,0,Female,White
APP00311,CAND44890,JOB009,LinkedIn,2025-11-18,Rejected,15,Male,White
APP00312,CAND37332,JOB038,Indeed,2025-06-04,Withdrawn,0,Male,Asian
APP00313,CAND73721,JOB019,LinkedIn,2025-10-14,Rejected,15,Male,Asian
APP00314,CAND51936,JOB012,Indeed,2026-04-02,Rejected,0,Male,Two or More
APP00315,CAND29575,JOB033,Company Website,2025-01-20,Withdrawn,0,Prefer not to say,Hispanic
APP00316,CAND53401,JOB023,Indeed,2025-11-13,Withdrawn,0,Female,White
APP00317,CAND19947,JOB023,LinkedIn,2025-10-21,Rejected,15,Male,Hispanic
APP00318,CAND17549,JOB044,Company Website,2026-01-23,Rejected,0,Female,Black
APP00319,CAND22938,JOB044,LinkedIn,2026-02-28,Rejected,15,Female,White
